Year,Month,Day,Max_NEL_wo_DC_Loss,Weather_75,Weather_80,Weather_85,Weather_90,Weather_95,Weather_100,Weather_105,Jun,Jul,Aug,Sep,Year2008,Year2009,Year2010,Year2011,Year2012,Year2013,Min_Temp_60,Min_Temp_65,Min_Temp_70,Bad,XMissing,YMissing
2008,1,1,3177.59,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0,0,0.00,0.0,0.00,0.00,1,0,0
2008,1,2,3546.25,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0,0,0.00,0.0,0.00,0.00,1,0,0
2008,1,3,3596.78,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0,0,0.00,0.0,0.00,0.00,1,0,0
2008,1,4,3717.07,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0,0,0.00,0.0,0.00,0.00,1,0,0
2008,1,5,3346.98,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0,0,0.00,0.0,0.00,0.00,1,0,0
2008,1,6,3367.70,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0,0,0.00,0.0,0.00,0.00,1,0,0
2008,1,7,3698.47,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0,0,0.00,0.0,0.00,0.00,1,0,0
2008,1,8,3740.36,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0,0,0.00,0.0,0.00,0.00,1,0,0
2008,1,9,3695.99,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0,0,0.00,0.0,0.00,0.00,1,0,0
2008,1,10,3625.60,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0,0,0.00,0.0,0.00,0.00,1,0,0
2008,1,11,3508.79,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0,0,0.00,0.0,0.00,0.00,1,0,0
2008,1,12,3223.75,2.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0,0,0.00,0.0,0.00,0.00,1,0,0
2008,1,13,3164.72,3.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0,0,0.00,0.0,0.00,0.00,1,0,0
2008,1,14,3556.74,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0,0,0.00,0.0,0.00,0.00,1,0,0
2008,1,15,3576.51,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0,0,0.00,0.0,0.00,0.00,1,0,0
2008,1,16,3604.78,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0,0,0.00,0.0,0.00,0.00,1,0,0
2008,1,17,3584.33,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0,0,0.00,0.0,0.00,0.00,1,0,0
2008,1,18,3517.07,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0,0,0.00,0.0,0.00,0.00,1,0,0
2008,1,19,3224.50,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0,0,0.00,0.0,0.00,0.00,1,0,0
2008,1,20,3213.30,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0,0,0.00,0.0,0.00,0.00,1,0,0
2008,1,21,3653.43,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0,0,0.00,0.0,0.00,0.00,1,0,0
2008,1,22,3720.49,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0,0,0.00,0.0,0.00,0.00,1,0,0
2008,1,23,3908.37,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0,0,0.00,0.0,0.00,0.00,1,0,0
2008,1,24,3888.06,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0,0,0.00,0.0,0.00,0.00,1,0,0
2008,1,25,3703.09,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0,0,0.00,0.0,0.00,0.00,1,0,0
